代码_Code,证券名称_Secunm,行情日期_Qdate,标准时间_StdTime,最高价(元)_Hipr,最低价(元)_Lopr,成交价(元)_TPrice,...8
600926,杭州银行,2019-01-02,09:30:00,7.41,7.41,7.41,NA
600926,杭州银行,2019-01-02,09:35:00,7.41,7.38,7.38,NA
600926,杭州银行,2019-01-02,09:40:00,7.41,7.37,7.37,NA
600926,杭州银行,2019-01-02,09:45:00,7.41,7.35,7.37,NA
600926,杭州银行,2019-01-02,09:50:00,7.41,7.34,7.37,NA
600926,杭州银行,2019-01-02,09:55:00,7.41,7.34,7.35,NA
600926,杭州银行,2019-01-02,10:00:00,7.41,7.34,7.34,NA
600926,杭州银行,2019-01-02,10:05:00,7.41,7.34,7.36,NA
600926,杭州银行,2019-01-02,10:10:00,7.41,7.32,7.34,NA
600926,杭州银行,2019-01-02,10:15:00,7.41,7.32,7.35,NA
600926,杭州银行,2019-01-02,10:20:00,7.41,7.32,7.35,NA
600926,杭州银行,2019-01-02,10:25:00,7.41,7.32,7.36,NA
600926,杭州银行,2019-01-02,10:30:00,7.41,7.32,7.36,NA
600926,杭州银行,2019-01-02,10:35:00,7.41,7.32,7.35,NA
600926,杭州银行,2019-01-02,10:40:00,7.41,7.32,7.35,NA
600926,杭州银行,2019-01-02,10:45:00,7.41,7.32,7.37,NA
600926,杭州银行,2019-01-02,10:50:00,7.41,7.32,7.37,NA
600926,杭州银行,2019-01-02,10:55:00,7.41,7.32,7.38,NA
600926,杭州银行,2019-01-02,11:00:00,7.41,7.32,7.38,NA
600926,杭州银行,2019-01-02,11:05:00,7.41,7.32,7.36,NA
600926,杭州银行,2019-01-02,11:10:00,7.41,7.32,7.37,NA
600926,杭州银行,2019-01-02,11:15:00,7.41,7.32,7.38,NA
600926,杭州银行,2019-01-02,11:20:00,7.41,7.32,7.38,NA
600926,杭州银行,2019-01-02,11:25:00,7.41,7.32,7.38,NA
600926,杭州银行,2019-01-02,11:30:00,7.41,7.32,7.37,NA
600926,杭州银行,2019-01-02,11:35:00,7.41,7.32,7.37,NA
600926,杭州银行,2019-01-02,13:00:00,7.41,7.32,7.37,NA
600926,杭州银行,2019-01-02,13:05:00,7.41,7.32,7.35,NA
600926,杭州银行,2019-01-02,13:10:00,7.41,7.32,7.36,NA
600926,杭州银行,2019-01-02,13:15:00,7.41,7.32,7.36,NA
600926,杭州银行,2019-01-02,13:20:00,7.41,7.32,7.35,NA
600926,杭州银行,2019-01-02,13:25:00,7.41,7.32,7.34,NA
600926,杭州银行,2019-01-02,13:30:00,7.41,7.32,7.35,NA
600926,杭州银行,2019-01-02,13:35:00,7.41,7.32,7.34,NA
600926,杭州银行,2019-01-02,13:40:00,7.41,7.32,7.34,NA
600926,杭州银行,2019-01-02,13:45:00,7.41,7.32,7.36,NA
